Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-08-09T19:00:00Z,VIXM,15.77,-17932,Market,Filled,-282787.64,"Take Profit, zscore = 0.8252398604645211, slope = 2.4646840935139416 - Warning: No quote information available at 08/09/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-08-09T19:00:00Z,VIXY,56.7,23616,Market,Filled,1339027.2,"Take Profit, zscore = 0.8252398604645211, slope = 2.4646840935139416 - Warning: No quote information available at 08/09/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-08-12T16:00:00Z,VIXY,51.3,-14125,Market,Filled,-724612.5,"zscore = 2.061356141201134; slope = 2.5013520870255364; (mean reversion) - Warning: No quote information available at 08/12/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-12T16:00:00Z,VIXM,14.99,12950,Market,Filled,194120.5,"zscore = 2.061356141201134; slope = 2.5013520870255364; (mean reversion) - Warning: No quote information available at 08/12/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-12T16:00:00Z,VIXY,51.3,-14125,Market,Filled,-724612.5,"zscore = 2.061356141201134; slope = 2.5013520870255364; (mean reversion) - Warning: No quote information available at 08/12/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-12T16:00:00Z,VIXM,14.99,12950,Market,Filled,194120.5,"zscore = 2.061356141201134; slope = 2.5013520870255364; (mean reversion) - Warning: No quote information available at 08/12/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T15:00:00Z,VIXM,14.59,-25900,Market,Filled,-377881,"Take Profit, zscore = 1.7396346866311116, slope = 2.5211931649319195 - Warning: No quote information available at 08/14/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T15:00:00Z,VIXY,47.764,28250,Market,Filled,1349333,"Take Profit, zscore = 1.7396346866311116, slope = 2.5211931649319195 - Warning: No quote information available at 08/14/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T16:00:00Z,VIXY,47.6,-15788,Market,Filled,-751508.8,"zscore = 2.2031347412306044; slope = 2.5204754369833653; (mean reversion) - Warning: No quote information available at 08/14/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T16:00:00Z,VIXM,14.5,14595,Market,Filled,211627.5,"zscore = 2.2031347412306044; slope = 2.5204754369833653; (mean reversion) - Warning: No quote information available at 08/14/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T16:00:00Z,VIXY,47.6,-15788,Market,Filled,-751508.8,"zscore = 2.2031347412306044; slope = 2.5204754369833653; (mean reversion) - Warning: No quote information available at 08/14/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-14T16:00:00Z,VIXM,14.5,14595,Market,Filled,211627.5,"zscore = 2.2031347412306044; slope = 2.5204754369833653; (mean reversion) - Warning: No quote information available at 08/14/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-08-16T17:00:00Z,VIXM,14.24,-29190,Market,Filled,-415665.6,"Take Profit, zscore = 1.2173155065604768, slope = 2.5068733776635703 - Warning: No quote information available at 08/16/2024 13:00:00 America/New_York, order filled using TradeBar data" 
